Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;12;54;04/02/2026;10/03/2026;24/03/2026;Normal;;;SEM.08
REST1534.2;SAIA COM FENDAS LATERAIS E AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28460;92;53;05/02/2026;12/03/2026;16/03/2026;Normal;;;sem.08
REST1534.2;SAIA COM FENDAS LATERAIS E AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28460;18;53;05/02/2026;12/03/2026;17/03/2026;Normal;;;sem.08
REST1536.1;REGATA COM DETALHES EM RENDA;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28138;100;103;17/12/2025;06/02/2026;12/02/2026;Normal;;;OP LIBERADA ETIQUET...
REST1536.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28149;102;102;18/12/2025;06/02/2026;12/02/2026;Normal;;;OP LIBERADA ETIQUET...
REST1537;VESTIDO MANGA CURTA C/ FRANZIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28303;65;70;19/01/2026;11/02/2026;12/02/2026;Normal;;;sem.06
REST1537;VESTIDO MANGA CURTA C/ FRANZIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28303;41;70;19/01/2026;11/02/2026;16/02/2026;Normal;;;sem.06
REST1537;VESTIDO MANGA CURTA C/ FRANZIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28303;14;70;19/01/2026;11/02/2026;17/02/2026;Normal;;;sem.06
REST1537;VESTIDO MANGA CURTA C/ FRANZIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28303;1;70;19/01/2026;11/02/2026;18/02/2026;Normal;;;sem.06
REST1537;VESTIDO MANGA CURTA C/ FRANZIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28303;5;70;19/01/2026;11/02/2026;23/02/2026;Normal;;;sem.06
REST1537;VESTIDO MANGA CURTA C/ FRANZIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28303;5;70;19/01/2026;11/02/2026;27/02/2026;Normal;;;sem.06
REST1539;VESTIDO BICOLOR ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28354;100;63;26/01/2026;26/02/2026;26/02/2026;Normal;;;SEM.07
REST1539;VESTIDO BICOLOR ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28354;1;63;26/01/2026;26/02/2026;27/02/2026;Normal;;;SEM.07
REST1539;VESTIDO BICOLOR ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28354;2;63;26/01/2026;26/02/2026;02/03/2026;Normal;;;SEM.07
REST1539;VESTIDO BICOLOR ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28354;7;63;26/01/2026;26/02/2026;04/03/2026;Normal;;;SEM.07
REST1540;BLUSA ESTAMPADA COM BABADO;RITMI STUDIO;33419 - INTERNO RITMI;28324;62;67;22/01/2026;18/03/2026;19/03/2026;Normal;;;sem.07
REST1541;VESTIDO MIDI CACHECOUER;RITMI STUDIO;33419 - INTERNO RITMI;28305;99;70;19/01/2026;19/02/2026;19/02/2026;Normal;;;sem.07
REST1541;VESTIDO MIDI CACHECOUER;RITMI STUDIO;33419 - INTERNO RITMI;28305;28;70;19/01/2026;19/02/2026;20/02/2026;Normal;;;sem.07
REST1541;VESTIDO MIDI CACHECOUER;RITMI STUDIO;33419 - INTERNO RITMI;28305;3;70;19/01/2026;19/02/2026;23/02/2026;Normal;;;sem.07
REST1541;VESTIDO MIDI CACHECOUER;RITMI STUDIO;33419 - INTERNO RITMI;28305;2;70;19/01/2026;19/02/2026;24/02/2026;Normal;;;sem.07
REST1542.1;REGATA XADREZ ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28315;74;70;19/01/2026;16/02/2026;16/02/2026;Normal;;E (Estamparia);ED...SEM.07
REST1542.1;REGATA XADREZ ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28315;8;70;19/01/2026;16/02/2026;17/02/2026;Normal;;E (Estamparia);ED...SEM.07
REST1542.1;REGATA XADREZ ALÇAS FINAS;RITMI STUDIO;33419 - INTERNO RITMI;28315;6;70;19/01/2026;16/02/2026;18/02/2026;Normal;;E (Estamparia);ED...SEM.07
REST1542.2;SAIA MIDI XADREZ;RITMI STUDIO;33419 - INTERNO RITMI;28314;88;70;19/01/2026;19/02/2026;19/02/2026;Normal;;E (Estamparia);ED...sem.7
REST1544.1;COLETE AMARRAÇÃO COSTAS;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28356;44;63;26/01/2026;19/02/2026;19/02/2026;Normal;;;Prep. Bolso + Bolso...
REST1544.1;COLETE AMARRAÇÃO COSTAS;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28356;44;63;26/01/2026;19/02/2026;23/02/2026;Normal;;;Prep. Bolso + Bolso...
REST1544.2;SAIA MIDI CÓS ELÁSTICO;RITMI STUDIO;33419 - INTERNO RITMI;28355;70;63;26/01/2026;18/02/2026;19/02/2026;Normal;;;sem.7
REST1544.2;SAIA MIDI CÓS ELÁSTICO;RITMI STUDIO;33419 - INTERNO RITMI;28355;18;63;26/01/2026;18/02/2026;20/02/2026;Normal;;;sem.7
REST1546;CALÇA COM ELÁSTICO NA BARRA;RITMI STUDIO;33419 - INTERNO RITMI;28366;70;62;27/01/2026;16/02/2026;16/02/2026;Normal;;;SEM.7
REST1546;CALÇA COM ELÁSTICO NA BARRA;RITMI STUDIO;33419 - INTERNO RITMI;28366;8;62;27/01/2026;16/02/2026;17/02/2026;Normal;;;SEM.7
REST1546;CALÇA COM ELÁSTICO NA BARRA;RITMI STUDIO;33419 - INTERNO RITMI;28366;14;62;27/01/2026;16/02/2026;18/02/2026;Normal;;;SEM.7
REST1546;CALÇA COM ELÁSTICO NA BARRA;RITMI STUDIO;33419 - INTERNO RITMI;28366;3;62;27/01/2026;16/02/2026;20/02/2026;Normal;;;SEM.7
REST1546;CALÇA COM ELÁSTICO NA BARRA;RITMI STUDIO;33419 - INTERNO RITMI;28366;5;62;27/01/2026;16/02/2026;25/02/2026;Normal;;;SEM.7
REST1547;BLUSA AMARRAÇÃO COSTAS;RITMI STUDIO;33419 - INTERNO RITMI;28331;108;66;23/01/2026;16/02/2026;17/02/2026;Normal;;;sem.07
REST1548;BLUSA COM BABADO NA BARRA;RITMI STUDIO;33419 - INTERNO RITMI;28312;128;70;19/01/2026;10/02/2026;10/02/2026;Normal;;;sem.07
REST1549;VESTIDO MIDI C/ MANGA BUFANTE;RITMI STUDIO;33419 - INTERNO RITMI;28414;70;56;02/02/2026;25/02/2026;26/02/2026;Normal;;;SEM.08
REST1549;VESTIDO MIDI C/ MANGA BUFANTE;RITMI STUDIO;33419 - INTERNO RITMI;28414;10;56;02/02/2026;25/02/2026;27/02/2026;Normal;;;SEM.08
REST1549;VESTIDO MIDI C/ MANGA BUFANTE;RITMI STUDIO;33419 - INTERNO RITMI;28414;5;56;02/02/2026;25/02/2026;02/03/2026;Normal;;;SEM.08
REST1549;VESTIDO MIDI C/ MANGA BUFANTE;RITMI STUDIO;33419 - INTERNO RITMI;28414;3;56;02/02/2026;25/02/2026;03/03/2026;Normal;;;SEM.08
REST1550.1;CAMISA MANGA CURTA LISA;RITMI STUDIO;33419 - INTERNO RITMI;28310;110;70;19/01/2026;06/02/2026;09/02/2026;Normal;;;sem.07
REST1550.2;CALÇA RETA COM BOLSO FACA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28309;84;70;19/01/2026;10/02/2026;11/02/2026;Normal;;;sem.07
REST1550.2;CALÇA RETA COM BOLSO FACA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28309;26;70;19/01/2026;10/02/2026;12/02/2026;Normal;;;sem.07
REST1552.1;BLUSA DECOTE DEGAGE COM AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28308;104;70;19/01/2026;04/02/2026;06/02/2026;Normal;;;sem.07
REST1552.1;BLUSA DECOTE DEGAGE COM AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28308;28;70;19/01/2026;04/02/2026;09/02/2026;Normal;;;sem.07
REST1552.2;CALÇA RETA CÓS ELÁSTICO E AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28311;131;70;19/01/2026;11/02/2026;12/02/2026;Normal;;;Acab. Caseadosem.07
REST1554;TSHIRT ESTAMPADA MANGA CURTA;RITMI STUDIO;33419 - INTERNO RITMI;28313;98;70;19/01/2026;24/02/2026;25/02/2026;Normal;;E (Estamparia);ED...sem.08
REST1554;TSHIRT ESTAMPADA MANGA CURTA;RITMI STUDIO;33419 - INTERNO RITMI;28313;10;70;19/01/2026;24/02/2026;26/02/2026;Normal;;E (Estamparia);ED...sem.08
REST1554;TSHIRT ESTAMPADA MANGA CURTA;RITMI STUDIO;33419 - INTERNO RITMI;28313;8;70;19/01/2026;24/02/2026;27/02/2026;Normal;;E (Estamparia);ED...sem.08
REST1555;REGATA BASICA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28490;41;53;05/02/2026;24/02/2026;25/02/2026;Normal;;;sem.09 SILK
REST1555;REGATA BASICA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28490;2;53;05/02/2026;24/02/2026;02/03/2026;Normal;;;sem.09 SILK
REST1555;REGATA BASICA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28490;8;53;05/02/2026;24/02/2026;05/03/2026;Normal;;;sem.09 SILK
REST1556;CALÇA COM ESTAMPA LATERAL;RITMI STUDIO;33419 - INTERNO RITMI;28501;86;52;06/02/2026;27/02/2026;02/03/2026;Normal;;E (Estamparia);sem.8
REST1556;CALÇA COM ESTAMPA LATERAL;RITMI STUDIO;33419 - INTERNO RITMI;28501;5;52;06/02/2026;27/02/2026;03/03/2026;Normal;;E (Estamparia);sem.8
REST1556;CALÇA COM ESTAMPA LATERAL;RITMI STUDIO;33419 - INTERNO RITMI;28501;11;52;06/02/2026;27/02/2026;04/03/2026;Normal;;E (Estamparia);sem.8
REST1558;BLUSA ALONGADA ASSIMÉTRICA;RITMI STUDIO;33419 - INTERNO RITMI;28744;2;38;20/02/2026;02/03/2026;02/03/2026;Normal;;A (Normal);
REST1558;BLUSA ALONGADA ASSIMÉTRICA;RITMI STUDIO;33419 - INTERNO RITMI;28392;61;60;29/01/2026;20/02/2026;20/02/2026;Normal;;;sem.08
REST1558;BLUSA ALONGADA ASSIMÉTRICA;RITMI STUDIO;33419 - INTERNO RITMI;28392;9;60;29/01/2026;20/02/2026;23/02/2026;Normal;;;sem.08
REST1558;BLUSA ALONGADA ASSIMÉTRICA;RITMI STUDIO;33419 - INTERNO RITMI;28392;14;60;29/01/2026;20/02/2026;26/02/2026;Normal;;;sem.08
REST1558;BLUSA ALONGADA ASSIMÉTRICA;RITMI STUDIO;33419 - INTERNO RITMI;28392;2;60;29/01/2026;20/02/2026;02/03/2026;Normal;;;sem.08
REST1560;LENÇO ZEBRA BARRADO 90X90;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28213;50;83;06/01/2026;28/01/2026;28/01/2026;Normal;;E (Estamparia);ED + LAVANDERIA
REST1560;LENÇO ZEBRA BARRADO 90X90;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28250;7;80;09/01/2026;28/01/2026;28/01/2026;Normal;;A (Normal);
REST1564.1;TOP TOMARA-QUE-CAIA;RITMI STUDIO;33419 - INTERNO RITMI;28393;64;59;30/01/2026;26/02/2026;26/02/2026;Normal;;;sem.08
REST1564.1;TOP TOMARA-QUE-CAIA;RITMI STUDIO;33419 - INTERNO RITMI;28393;1;59;30/01/2026;26/02/2026;27/02/2026;Normal;;;sem.08
REST1564.1;TOP TOMARA-QUE-CAIA;RITMI STUDIO;33419 - INTERNO RITMI;28393;5;59;30/01/2026;26/02/2026;03/03/2026;Normal;;;sem.08
REST1564.1;TOP TOMARA-QUE-CAIA;RITMI STUDIO;33419 - INTERNO RITMI;28393;18;59;30/01/2026;26/02/2026;04/03/2026;Normal;;;sem.08
REST1564.2;CALÇA BÁSICA ALFAIATARIA;RITMI STUDIO;33419 - INTERNO RITMI;28535;46;48;10/02/2026;19/02/2026;19/02/2026;Normal;;;sem.08
REST1564.2;CALÇA BÁSICA ALFAIATARIA;RITMI STUDIO;33419 - INTERNO RITMI;28535;27;48;10/02/2026;19/02/2026;20/02/2026;Normal;;;sem.08
REST1564.2;CALÇA BÁSICA ALFAIATARIA;RITMI STUDIO;33419 - INTERNO RITMI;28535;4;48;10/02/2026;19/02/2026;23/02/2026;Normal;;;sem.08
REST1564.2;CALÇA BÁSICA ALFAIATARIA;RITMI STUDIO;33419 - INTERNO RITMI;28535;1;48;10/02/2026;19/02/2026;26/02/2026;Normal;;;sem.08
REST1564.2;CALÇA BÁSICA ALFAIATARIA;RITMI STUDIO;33419 - INTERNO RITMI;28535;10;48;10/02/2026;19/02/2026;27/02/2026;Normal;;;sem.08
REST1566;BLUSA POLO DE LISTRAS;RITMI STUDIO;33419 - INTERNO RITMI;28395;76;59;30/01/2026;25/02/2026;25/02/2026;Normal;;CALANDRAR;CL. ENTRE...sem.08
REST1566;BLUSA POLO DE LISTRAS;RITMI STUDIO;33419 - INTERNO RITMI;28395;9;59;30/01/2026;25/02/2026;26/02/2026;Normal;;CALANDRAR;CL. ENTRE...sem.08
REST1566;BLUSA POLO DE LISTRAS;RITMI STUDIO;33419 - INTERNO RITMI;28395;1;59;30/01/2026;25/02/2026;27/02/2026;Normal;;CALANDRAR;CL. ENTRE...sem.08
REST1566;BLUSA POLO DE LISTRAS;RITMI STUDIO;33419 - INTERNO RITMI;28395;12;59;30/01/2026;25/02/2026;02/03/2026;Normal;;CALANDRAR;CL. ENTRE...sem.08
REST1566;BLUSA POLO DE LISTRAS;RITMI STUDIO;33419 - INTERNO RITMI;28395;9;59;30/01/2026;25/02/2026;04/03/2026;Normal;;CALANDRAR;CL. ENTRE...sem.08
REST1567;BLUSA COM PONTA;RITMI STUDIO;33419 - INTERNO RITMI;28562;73;47;11/02/2026;03/03/2026;04/03/2026;Normal;;;sem.09
REST1567;BLUSA COM PONTA;RITMI STUDIO;33419 - INTERNO RITMI;28562;11;47;11/02/2026;03/03/2026;05/03/2026;Normal;;;sem.09
REST1567;BLUSA COM PONTA;RITMI STUDIO;33419 - INTERNO RITMI;28562;2;47;11/02/2026;03/03/2026;06/03/2026;Normal;;;sem.09
REST1567;BLUSA COM PONTA;RITMI STUDIO;33419 - INTERNO RITMI;28562;23;47;11/02/2026;03/03/2026;09/03/2026;Normal;;;sem.09
REST1567;BLUSA COM PONTA;RITMI STUDIO;33419 - INTERNO RITMI;28562;1;47;11/02/2026;03/03/2026;19/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;49;47;11/02/2026;02/03/2026;03/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;14;47;11/02/2026;02/03/2026;04/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;4;47;11/02/2026;02/03/2026;05/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;5;47;11/02/2026;02/03/2026;06/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;22;47;11/02/2026;02/03/2026;09/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;3;47;11/02/2026;02/03/2026;10/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;9;47;11/02/2026;02/03/2026;16/03/2026;Normal;;;sem.09
REST1568;VESTIDO REGATA LONGO;RITMI STUDIO;33419 - INTERNO RITMI;28552;3;47;11/02/2026;02/03/2026;17/03/2026;Normal;;;sem.09
REST1569;SHORT SAIA COM BOLSOS;RITMI STUDIO;33419 - INTERNO RITMI;28679;49;41;17/02/2026;12/03/2026;25/03/2026;Normal;;;
REST1569;SHORT SAIA COM BOLSOS;RITMI STUDIO;33419 - INTERNO RITMI;28679;4;41;17/02/2026;12/03/2026;26/03/2026;Normal;;;
REST1569;SHORT SAIA COM BOLSOS;RITMI STUDIO;33419 - INTERNO RITMI;28679;7;41;17/02/2026;12/03/2026;27/03/2026;Normal;;;
REST1570;CALÇA COM PREGAS E BOLSOS CT;RITMI STUDIO;17913 - 49.700.181 ITAMARA SANTANA COSTA;28531;1;49;09/02/2026;05/03/2026;06/03/2026;Normal;;;Bolso Embutido
REST1570;CALÇA COM PREGAS E BOLSOS CT;RITMI STUDIO;33419 - INTERNO RITMI;28531;74;49;09/02/2026;05/03/2026;05/03/2026;Normal;;;Bolso Embutido
REST1570;CALÇA COM PREGAS E BOLSOS CT;RITMI STUDIO;33419 - INTERNO RITMI;28531;4;49;09/02/2026;05/03/2026;06/03/2026;Normal;;;Bolso Embutido
REST1570;CALÇA COM PREGAS E BOLSOS CT;RITMI STUDIO;33419 - INTERNO RITMI;28531;8;49;09/02/2026;05/03/2026;09/03/2026;Normal;;;Bolso Embutido
REST1570;CALÇA COM PREGAS E BOLSOS CT;RITMI STUDIO;33419 - INTERNO RITMI;28531;14;49;09/02/2026;05/03/2026;13/03/2026;Normal;;;Bolso Embutido
REST1571;VESTIDO CHEMISE COM MARIAS;RITMI STUDIO;33419 - INTERNO RITMI;28565;70;47;11/02/2026;09/03/2026;09/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1571;VESTIDO CHEMISE COM MARIAS;RITMI STUDIO;33419 - INTERNO RITMI;28565;3;47;11/02/2026;09/03/2026;11/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1571;VESTIDO CHEMISE COM MARIAS;RITMI STUDIO;33419 - INTERNO RITMI;28565;4;47;11/02/2026;09/03/2026;16/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1572.1;TSHIRT BÁSICA COM ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28917;88;26;04/03/2026;19/03/2026;23/03/2026;Normal;;;SILK
REST1572.1;TSHIRT BÁSICA COM ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28917;8;26;04/03/2026;19/03/2026;25/03/2026;Normal;;;SILK
REST1572.2;CALÇA BÁSICA COM ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28906;82;27;03/03/2026;24/03/2026;25/03/2026;Normal;;;SILK
REST1572.2;CALÇA BÁSICA COM ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28906;1;27;03/03/2026;24/03/2026;26/03/2026;Normal;;;SILK
REST1572.2;CALÇA BÁSICA COM ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28906;7;27;03/03/2026;24/03/2026;27/03/2026;Normal;;;SILK
REST1574;TSHIT BICOLOR COM DECOTE V E ESTMPA;RITMI STUDIO;33419 - INTERNO RITMI;28947;1;25;05/03/2026;26/03/2026;26/03/2026;Normal;;;SILK
REST1574;TSHIT BICOLOR COM DECOTE V E ESTMPA;RITMI STUDIO;33419 - INTERNO RITMI;28947;26;25;05/03/2026;26/03/2026;27/03/2026;Normal;;;SILK
REST1574;TSHIT BICOLOR COM DECOTE V E ESTMPA;RITMI STUDIO;33419 - INTERNO RITMI;28947;5;25;05/03/2026;26/03/2026;30/03/2026;Normal;;;SILK
REST1575;TSHIT BICOLOR COM  ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28850;31;31;27/02/2026;25/03/2026;26/03/2026;Normal;;;SILK
REST1575;TSHIT BICOLOR COM  ESTAMPA;RITMI STUDIO;33419 - INTERNO RITMI;28850;2;31;27/02/2026;25/03/2026;27/03/2026;Normal;;;SILK
REST1576.1;BLUSA BÁSICA COM ETIQUETA;RITMI STUDIO;33419 - INTERNO RITMI;28774;199;35;23/02/2026;18/03/2026;23/03/2026;Normal;;;
REST1576.1;BLUSA BÁSICA COM ETIQUETA;RITMI STUDIO;33419 - INTERNO RITMI;28774;7;35;23/02/2026;18/03/2026;24/03/2026;Normal;;;
REST1576.1;BLUSA BÁSICA COM ETIQUETA;RITMI STUDIO;33419 - INTERNO RITMI;28774;6;35;23/02/2026;18/03/2026;25/03/2026;Normal;;;
REST1576.1;BLUSA BÁSICA COM ETIQUETA;RITMI STUDIO;33419 - INTERNO RITMI;28774;1;35;23/02/2026;18/03/2026;26/03/2026;Normal;;;
REST1576.2;SHORT BÁSICO COM ETIQUETA;RITMI STUDIO;33419 - INTERNO RITMI;28775;192;35;23/02/2026;18/03/2026;23/03/2026;Normal;;;
REST1576.2;SHORT BÁSICO COM ETIQUETA;RITMI STUDIO;33419 - INTERNO RITMI;28775;26;35;23/02/2026;18/03/2026;24/03/2026;Normal;;;
REST1580;BODY COM GOLA ALTA;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28580;114;46;12/02/2026;26/02/2026;04/03/2026;Normal;;;
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;80;42;16/02/2026;06/03/2026;09/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;3;42;16/02/2026;06/03/2026;10/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;12;42;16/02/2026;06/03/2026;11/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;4;42;16/02/2026;06/03/2026;12/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;1;42;16/02/2026;06/03/2026;13/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;2;42;16/02/2026;06/03/2026;16/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;1;42;16/02/2026;06/03/2026;17/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;1;42;16/02/2026;06/03/2026;18/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1581;BODY BÁSICO MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28638;21;42;16/02/2026;06/03/2026;26/03/2026;Normal;;;DIFICULDADE TECIDO ...
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;29;54;04/02/2026;02/03/2026;03/03/2026;Normal;;;sem.08
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;7;54;04/02/2026;02/03/2026;04/03/2026;Normal;;;sem.08
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;11;54;04/02/2026;02/03/2026;12/03/2026;Normal;;;sem.08
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;25;54;04/02/2026;02/03/2026;13/03/2026;Normal;;;sem.08
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;11;54;04/02/2026;02/03/2026;16/03/2026;Normal;;;sem.08
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;6;54;04/02/2026;02/03/2026;17/03/2026;Normal;;;sem.08
REST1582;BLUSA TRICOLOR MANGA LONGA;RITMI STUDIO;33419 - INTERNO RITMI;28458;3;54;04/02/2026;02/03/2026;18/03/2026;Normal;;;sem.08
REST1583;VESTIDO MIDI DECOTE V;RITMI STUDIO;33419 - INTERNO RITMI;28549;47;47;11/02/2026;04/03/2026;12/03/2026;Normal;;;SEM.9
REST1583;VESTIDO MIDI DECOTE V;RITMI STUDIO;33419 - INTERNO RITMI;28549;3;47;11/02/2026;04/03/2026;13/03/2026;Normal;;;SEM.9
REST1583;VESTIDO MIDI DECOTE V;RITMI STUDIO;33419 - INTERNO RITMI;28549;9;47;11/02/2026;04/03/2026;16/03/2026;Normal;;;SEM.9
REST1583;VESTIDO MIDI DECOTE V;RITMI STUDIO;33419 - INTERNO RITMI;28549;7;47;11/02/2026;04/03/2026;19/03/2026;Normal;;;SEM.9
REST1583;VESTIDO MIDI DECOTE V;RITMI STUDIO;33419 - INTERNO RITMI;28549;22;47;11/02/2026;04/03/2026;25/03/2026;Normal;;;SEM.9
REST1584;TSHIRT ESTAMPA CASA;RITMI STUDIO;33419 - INTERNO RITMI;28643;33;42;16/02/2026;10/03/2026;12/03/2026;Normal;;E (Estamparia);
REST1584;TSHIRT ESTAMPA CASA;RITMI STUDIO;33419 - INTERNO RITMI;28643;7;42;16/02/2026;10/03/2026;13/03/2026;Normal;;E (Estamparia);
REST1587.1;BLUSA GOLA DEGAGÊ;RITMI STUDIO;33419 - INTERNO RITMI;28453;90;54;04/02/2026;20/02/2026;23/02/2026;Normal;;;sem.08
REST1587.1;BLUSA GOLA DEGAGÊ;RITMI STUDIO;33419 - INTERNO RITMI;28453;2;54;04/02/2026;20/02/2026;24/02/2026;Normal;;;sem.08
REST1587.1;BLUSA GOLA DEGAGÊ;RITMI STUDIO;33419 - INTERNO RITMI;28453;3;54;04/02/2026;20/02/2026;25/02/2026;Normal;;;sem.08
REST1587.1;BLUSA GOLA DEGAGÊ;RITMI STUDIO;33419 - INTERNO RITMI;28453;15;54;04/02/2026;20/02/2026;27/02/2026;Normal;;;sem.08
REST1587.2;CALÇA COM AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28455;90;54;04/02/2026;25/02/2026;26/02/2026;Normal;;;SEM.08
REST1587.2;CALÇA COM AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28455;13;54;04/02/2026;25/02/2026;27/02/2026;Normal;;;SEM.08
REST1587.2;CALÇA COM AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28455;2;54;04/02/2026;25/02/2026;02/03/2026;Normal;;;SEM.08
REST1587.2;CALÇA COM AMARRAÇÃO;RITMI STUDIO;33419 - INTERNO RITMI;28455;5;54;04/02/2026;25/02/2026;03/03/2026;Normal;;;SEM.08
REST1588;BLUSA FLUÍDA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28493;29;52;06/02/2026;03/03/2026;04/03/2026;Normal;;E (Estamparia);ER...sem.09
REST1588;BLUSA FLUÍDA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28493;7;52;06/02/2026;03/03/2026;05/03/2026;Normal;;E (Estamparia);ER...sem.09
REST1588;BLUSA FLUÍDA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28493;3;52;06/02/2026;03/03/2026;06/03/2026;Normal;;E (Estamparia);ER...sem.09
REST1588;BLUSA FLUÍDA ESTAMPADA;RITMI STUDIO;33419 - INTERNO RITMI;28493;3;52;06/02/2026;03/03/2026;09/03/2026;Normal;;E (Estamparia);ER...sem.09
