Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;1;119;01/12/2025;19/12/2025;23/01/2026;Normal;;;sem.49
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;5;119;01/12/2025;19/12/2025;28/01/2026;Normal;;;sem.49
REST1499;CALÇA ALADIM;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27981;47;112;08/12/2025;13/01/2026;14/01/2026;Normal;;E (Estamparia);ERsem.04
REST1500.1;BLAZER OVER;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28123;1;104;16/12/2025;19/02/2026;19/02/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;40;104;16/12/2025;19/02/2026;12/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;1;104;16/12/2025;19/02/2026;13/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;13;104;16/12/2025;19/02/2026;16/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;13;104;16/12/2025;19/02/2026;17/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;6;104;16/12/2025;19/02/2026;18/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;3;104;16/12/2025;19/02/2026;20/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.1;BLAZER OVER;RITMI STUDIO;33419 - INTERNO RITMI;28123;8;104;16/12/2025;19/02/2026;24/03/2026;Normal;;;BOLSO EMBUTIDOsem.0...
REST1500.2;CALÇA RETA C/ PREGAS;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28124;101;104;16/12/2025;03/02/2026;03/02/2026;Normal;;;sem.05
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;72;109;11/12/2025;23/01/2026;26/01/2026;Normal;;;sem.04
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;5;109;11/12/2025;23/01/2026;27/01/2026;Normal;;;sem.04
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;11;109;11/12/2025;23/01/2026;28/01/2026;Normal;;;sem.04
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;2;109;11/12/2025;23/01/2026;30/01/2026;Normal;;;sem.04
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;3;109;11/12/2025;23/01/2026;02/02/2026;Normal;;;sem.04
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;1;109;11/12/2025;23/01/2026;03/02/2026;Normal;;;sem.04
REST1502.1;REGATA COM DETALHE EM BABADOS;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28083;6;109;11/12/2025;23/01/2026;04/02/2026;Normal;;;sem.04
REST1502.2 ;CALÇA ``ALADIM`` COM DETALHE EM AMARRAÇÃO;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28084;102;109;11/12/2025;23/01/2026;30/01/2026;Normal;;;sem.04
REST1504;VESTIDO LONGO COM DETALHE EM RECORTES;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27586;29;126;24/11/2025;15/12/2025;06/01/2026;Normal;;;sem.49
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;39;112;08/12/2025;23/01/2026;28/01/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;10;112;08/12/2025;23/01/2026;29/01/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;15;112;08/12/2025;23/01/2026;30/01/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;30;112;08/12/2025;23/01/2026;02/02/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;2;112;08/12/2025;23/01/2026;03/02/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;15;112;08/12/2025;23/01/2026;04/02/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;10;112;08/12/2025;23/01/2026;06/02/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;3;112;08/12/2025;23/01/2026;09/02/2026;Normal;;;sem.04
REST1505;BLUSA TORCIDO FRENTE;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27999;1;112;08/12/2025;23/01/2026;10/02/2026;Normal;;;sem.04
REST1506;BLUSA DE RENDA MANGA LONGA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27986;69;112;08/12/2025;08/01/2026;12/01/2026;Normal;;;sem.04
REST1506;BLUSA DE RENDA MANGA LONGA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27986;2;112;08/12/2025;08/01/2026;14/01/2026;Normal;;;sem.04
REST1506;BLUSA DE RENDA MANGA LONGA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27986;2;112;08/12/2025;08/01/2026;04/02/2026;Normal;;;sem.04
REST1507;BLUSA DE RENDA MANGA CURTA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28008;89;111;09/12/2025;08/01/2026;12/01/2026;Normal;;;sem.04
REST1507;BLUSA DE RENDA MANGA CURTA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28008;10;111;09/12/2025;08/01/2026;13/01/2026;Normal;;;sem.04
REST1507;BLUSA DE RENDA MANGA CURTA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28008;1;111;09/12/2025;08/01/2026;27/01/2026;Normal;;;sem.04
REST1507;BLUSA DE RENDA MANGA CURTA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28008;2;111;09/12/2025;08/01/2026;04/02/2026;Normal;;;sem.04
REST1512.1;BLUSA MANGA CURTA COM DECOTE V;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28192;135;97;23/12/2025;12/02/2026;12/02/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;47;97;23/12/2025;28/01/2026;28/01/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;63;97;23/12/2025;28/01/2026;29/01/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;1;97;23/12/2025;28/01/2026;30/01/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;8;97;23/12/2025;28/01/2026;02/02/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;2;97;23/12/2025;28/01/2026;03/02/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;6;97;23/12/2025;28/01/2026;04/02/2026;Normal;;;
REST1512.2;CALÇA BÁSICA COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28191;8;97;23/12/2025;28/01/2026;05/02/2026;Normal;;;
REST1520;REGATA LISTRA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28073;83;111;09/12/2025;14/01/2026;15/01/2026;Normal;;;sem.04
REST1520;REGATA LISTRA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28073;18;111;09/12/2025;14/01/2026;19/01/2026;Normal;;;sem.04
REST1520;REGATA LISTRA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28073;1;111;09/12/2025;14/01/2026;27/01/2026;Normal;;;sem.04
REST1521.1;CAMISA DE LINHO MANGA CURTA;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28183;95;98;22/12/2025;03/02/2026;03/02/2026;Normal;;;OP LIBERADA ETIQUET...
REST1521.2;SHORT DE LINHO C/ PREGAS;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28176;96;98;22/12/2025;30/01/2026;30/01/2026;Normal;;;OP LIBERADA ETIQUET...
REST1523.1;BLUSA MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28227;124;82;07/01/2026;22/01/2026;23/01/2026;Normal;;;
REST1523.1;BLUSA MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28227;6;82;07/01/2026;22/01/2026;26/01/2026;Normal;;;
REST1523.1;BLUSA MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28227;5;82;07/01/2026;22/01/2026;28/01/2026;Normal;;;
REST1523.1;BLUSA MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28227;3;82;07/01/2026;22/01/2026;04/02/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;116;82;07/01/2026;26/01/2026;27/01/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;4;82;07/01/2026;26/01/2026;28/01/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;9;82;07/01/2026;26/01/2026;29/01/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;3;82;07/01/2026;26/01/2026;30/01/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;1;82;07/01/2026;26/01/2026;02/02/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;1;82;07/01/2026;26/01/2026;03/02/2026;Normal;;;
REST1523.2;CALÇA RETA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28226;4;82;07/01/2026;26/01/2026;04/02/2026;Normal;;;
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28237;52;81;08/01/2026;28/01/2026;28/01/2026;Normal;;;SEM06
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28237;31;81;08/01/2026;28/01/2026;29/01/2026;Normal;;;SEM06
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28237;11;81;08/01/2026;28/01/2026;30/01/2026;Normal;;;SEM06
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28237;7;81;08/01/2026;28/01/2026;02/02/2026;Normal;;;SEM06
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28237;1;81;08/01/2026;28/01/2026;03/02/2026;Normal;;;SEM06
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;33419 - INTERNO RITMI;28237;2;81;08/01/2026;28/01/2026;02/03/2026;Normal;;;SEM06
REST1525.1;TSHIRT BÁSICA TRICOLOR;RITMI STUDIO;33419 - INTERNO RITMI;28237;36;81;08/01/2026;28/01/2026;03/03/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28236;60;81;08/01/2026;18/02/2026;18/02/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28236;14;81;08/01/2026;18/02/2026;19/02/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28236;3;81;08/01/2026;18/02/2026;20/02/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28236;9;81;08/01/2026;18/02/2026;27/02/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28236;5;81;08/01/2026;18/02/2026;03/03/2026;Normal;;;SEM06
